"Ano";"Tipo de Emenda";"Autor da emenda";"Número da emenda";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Programa Orçamentário";"Ação Orçamentária";"Plano Orçamentário";"Código da emenda";"Valor empenhado";"Valor liquidado";"Valor pago";"Valor Restos a Pagar Inscritos";"Valor Restos a Pagar Cancelados";"Valor Restos a Pagar Pagos";
"2022";"Emenda Individual - Transferências Especiais";"MARIANA CARVALHO";"0012";"RONDÔNIA (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202237250012";"7.319.682,00";"3.659.841,00";"3.659.841,00";"3.659.841,00";"0,00";"3.659.841,00";
"2024";"Emenda Individual - Transferências Especiais";"ALAN RICK";"0004";"ACRE (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202443940004";"7.325.000,00";"4.260.000,00";"4.260.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências Especiais";"SARGENTO FAHUR";"0015";"PARANÁ (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202440660015";"7.325.991,00";"4.180.172,92";"4.180.172,92";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"HEITOR FREIRE";"0020";"GRANJA - CE";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202390650020";"7.331.441,00";"7.331.441,00";"7.331.441,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"LEONIDAS CRISTINO";"0006";"CEARÁ (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202232700006";"7.355.365,00";"3.677.682,50";"3.677.682,50";"3.677.682,50";"0,00";"3.677.682,50";
"2022";"Emenda Individual - Transferências Especiais";"LUISA CANZIANI";"0001";"PARANÁ (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202240340001";"7.359.682,00";"3.679.841,00";"3.679.841,00";"3.679.841,00";"0,00";"3.679.841,00";
"2022";"Emenda Individual - Transferências Especiais";"ALINE GURGEL";"0003";"AMAPÁ (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202239100003";"7.369.682,00";"3.684.841,00";"3.684.841,00";"3.684.841,00";"0,00";"3.684.841,00";
"2022";"Emenda Individual - Transferências Especiais";"PASTOR GIL";"0001";"MARANHÃO (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202240520001";"7.400.000,00";"3.700.000,00";"3.700.000,00";"3.700.000,00";"0,00";"3.700.000,00";
"2023";"Emenda Individual - Transferências Especiais";"MIGUEL LOMBARDI";"0010";"SÃO PAULO (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202337300010";"7.400.965,00";"7.400.965,00";"7.400.965,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências Especiais";"ROGERIO CARVALHO";"0002";"SERGIPE (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202440950002";"7.416.181,00";"0,00";"0,00";"0,00";"0,00";"0,00";
